Data;Sessions shop (all areas, GA);Paid sessions shop overall (utm);Budget FB/IG (sec. axis);Budget GGL;Click FB/IG;Click GGL;Budget overall;Click overall;Click overall adjusted  (sessions proxy);Day;Source;Sessions per source;Sessions;Campaign;Sessions from campaign;Product Pages;Pageviews;Orders from campaigns;Total Orders
30/03/20;5786;0;37;0;1003;0;37;1003;702;27/03/20;Paid FB/IG;0;4948;CacioPepe;5475;carbonara;9827;34;163
31/03/20;4069;0;52;0;1263;0;52;1263;884;27/03/20;Paid Google;0;7552;Carusel1;5047;cacio-e-pepe;8491;88;137
01/04/20;2754;0;51;0;921;0;51;921;645;27/03/20;Organic-Direct source;1842;4951;Zen1;2215;paccheri-rigati;8002;43;90
02/04/20;2919;0;100;0;1034;0;100;1034;724;27/03/20;Referral source;3106;5786;Zen2;657;gricia;7125;52;89
03/04/20;4706;0;221;0;1641;0;221;1641;1149;28/03/20;Paid FB/IG;0;4069;first_loyal;317;spaghettoni;6321;88;96
04/04/20;5020;0;242;0;1921;0;242;1921;1345;28/03/20;Paid Google;0;2754;Traffic_Bottega;2;pesto-mediterraneo;4608;74;113
05/04/20;4112;0;243;0;1677;0;243;1677;1174;28/03/20;Organic-Direct source;3028;2919;Zen1b;2;trofie;3938;65;89
06/04/20;3546;0;240;0;1350;0;240;1350;945;28/03/20;Referral source;4524;4706;;;pesto-genovese;3760;50;125
07/04/20;9939;0;253;0;1342;0;253;1342;939;29/03/20;Paid FB/IG;0;5020;;;crema-di-noci;3210;70;255
08/04/20;5721;0;410;0;3150;0;410;3150;2205;29/03/20;Paid Google;0;4112;;;ragu;2165;88;182
09/04/20;5336;0;518;0;2704;7;518;2711;1898;29/03/20;Organic-Direct source;2041;3546;;;tenerina;1366;63;198
10/04/20;5126;0;520;6;2740;121;526;2861;2003;29/03/20;Referral source;2776;9939;;;biscotti-della-nonna;925;47;118
11/04/20;3998;0;496;10;2825;141;507;2966;2076;30/03/20;Paid FB/IG;0;5721;;;ravioli-di-magro;905;40;86
12/04/20;3062;0;509;8;3051;117;517;3168;2218;30/03/20;Paid Google;0;5336;;;amatriciana;861;29;44
13/04/20;3938;0;484;8;3726;81;492;3807;2665;30/03/20;Organic-Direct source;2832;5126;;;per-chi-non-si-accontenta;762;40;66
14/04/20;3480;0;429;5;2860;88;435;2948;2064;30/03/20;Referral source;2844;3998;;;lasagna;545;60;95
15/04/20;3240;0;450;6;2648;175;456;2823;1976;31/03/20;Paid FB/IG;0;3062;;;gnocchi-di-patate;497;58;100
16/04/20;3308;0;457;5;2345;90;462;2435;1705;31/03/20;Paid Google;0;3938;;;parmigiana;443;65;98
17/04/20;9786;3389;430;45;4466;985;475;5451;3816;31/03/20;Organic-Direct source;2099;3480;;;il-cesto-della-felicita;423;108;274
18/04/20;7962;3725;594;52;4576;763;646;5339;3737;31/03/20;Referral source;1915;3240;;;quattro-formaggi;390;122;212
19/04/20;6080;2882;474;57;3497;867;531;4364;3055;01/04/20;Paid FB/IG;0;3308;;;lasagna-al-ragu;379;78;159
20/04/20;5216;2408;438;59;2883;801;498;3684;2579;01/04/20;Paid Google;0;9786;;;tagliatelle-alluovo;366;62;176
